Id,LotArea,YearBuilt,Heating,CentralAir,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars
1,8450,2003,GasA,Y,2,1,3,8,2
2,9600,1976,GasA,Y,2,0,3,6,2
3,11250,2001,GasA,Y,2,1,3,6,2
4,9550,1915,GasA,Y,1,0,3,7,3
5,14260,2000,GasA,Y,2,1,4,9,3
6,14115,1993,GasA,Y,1,1,1,5,2
7,10084,2004,GasA,Y,2,0,3,7,2
8,10382,1973,GasA,Y,2,1,3,7,2
9,6120,1931,GasA,Y,2,0,2,8,2
10,7420,1939,GasA,Y,1,0,2,5,1
11,11200,1965,GasA,Y,1,0,3,5,1
12,11924,2005,GasA,Y,3,0,4,11,3
13,12968,1962,GasA,Y,1,0,2,4,1
14,10652,2006,GasA,Y,2,0,3,7,3
15,10920,1960,GasA,Y,1,1,2,5,1
16,6120,1929,GasA,Y,1,0,2,5,2
17,11241,1970,GasA,Y,1,0,2,5,2
18,10791,1967,GasA,Y,2,0,2,6,2
19,13695,2004,GasA,Y,1,1,3,6,2
20,7560,1958,GasA,Y,1,0,3,6,1
21,14215,2005,GasA,Y,3,1,4,9,3
22,7449,1930,GasA,Y,1,0,3,6,1
23,9742,2002,GasA,Y,2,0,3,7,2
24,4224,1976,GasA,Y,1,0,3,6,2
25,8246,1968,GasA,Y,1,0,3,6,1
26,14230,2007,GasA,Y,2,0,3,7,3
27,7200,1951,GasA,Y,1,0,3,5,2
28,11478,2007,GasA,Y,2,0,3,7,3
29,16321,1957,GasA,Y,1,0,2,6,1
30,6324,1927,GasA,N,1,0,1,4,1
31,8500,1920,GasA,N,1,0,3,6,1
32,8544,1966,GasA,Y,1,1,3,6,1
33,11049,2007,GasA,Y,2,0,3,7,2
34,10552,1959,GasA,Y,1,1,4,6,2
35,7313,2005,GasA,Y,2,0,2,6,2
36,13418,2004,GasA,Y,3,1,4,9,3
37,10859,1994,GasA,Y,1,1,3,6,2
38,8532,1954,GasA,Y,1,0,3,5,2
39,7922,1953,GasA,Y,1,0,3,5,1
40,6040,1955,GasA,N,2,0,2,6,0
41,8658,1965,GasA,Y,2,0,3,6,2
42,16905,1959,GasA,Y,1,1,2,5,1
43,9180,1983,GasA,Y,1,0,2,5,2
44,9200,1975,GasA,Y,1,0,3,5,1
45,7945,1959,GasA,Y,1,0,3,6,1
46,7658,2005,GasA,Y,2,0,2,6,2
47,12822,2003,GasA,Y,1,1,1,6,2
48,11096,2006,GasA,Y,2,0,3,7,3
49,4456,1920,GasA,Y,2,0,2,8,0
50,7742,1966,GasA,Y,1,0,3,6,1
51,13869,1997,GasA,Y,2,0,3,6,2
52,6240,1934,GasA,Y,1,0,3,6,2
53,8472,1963,GasA,N,1,0,2,5,2
54,50271,1981,GasA,Y,0,1,0,5,3
55,7134,1955,GasA,Y,1,0,3,6,2
56,10175,1964,GasA,Y,2,0,3,7,2
57,2645,1999,GasA,Y,2,1,3,7,2
58,11645,2004,GasA,Y,2,1,3,7,2
59,13682,2006,GasA,Y,3,1,3,10,3
60,7200,1972,GasA,Y,1,0,2,4,1
61,13072,2004,GasA,Y,1,1,3,5,2
62,7200,1920,GasA,N,1,0,3,6,1
63,6442,2006,GasA,Y,2,0,2,6,2
64,10300,1921,GasA,Y,2,0,3,9,2
65,9375,1997,GasA,Y,2,1,3,8,2
66,9591,2004,GasA,Y,2,1,4,9,3
67,19900,1970,GasA,Y,2,0,3,7,2
68,10665,2003,GasA,Y,2,0,3,7,2
69,4608,1945,GasA,Y,1,0,2,4,1
70,15593,1953,GasW,Y,2,0,3,7,2
71,13651,1973,GasA,Y,2,0,3,8,2
72,7599,1982,GasA,Y,1,0,2,4,2
73,10141,1998,GasA,Y,2,1,3,7,2
74,10200,1954,GasA,Y,1,0,3,6,2
75,5790,1915,GasA,N,2,0,3,8,1
76,1596,1973,GasA,Y,1,0,2,5,1
77,8475,1956,GasA,Y,1,0,2,4,1
78,8635,1948,GasA,Y,1,0,2,6,1
79,10778,1968,GasA,N,2,0,4,8,0
80,10440,1910,GasA,Y,1,1,2,5,2
81,13000,1968,GasA,Y,2,1,4,8,1
82,4500,1998,GasA,Y,2,0,2,5,2
83,10206,2007,GasA,Y,2,0,3,6,3
84,8892,1960,GasA,Y,1,1,3,6,2
85,8530,1995,GasA,Y,2,1,3,7,2
86,16059,1991,GasA,Y,2,1,4,9,2
87,11911,2005,GasA,Y,2,1,3,6,2
88,3951,2009,GasA,Y,2,1,2,4,2
89,8470,1915,GasA,N,1,0,2,6,0
90,8070,1994,GasA,Y,1,0,3,5,0
91,7200,1950,GasA,Y,1,0,2,4,2
92,8500,1961,GasA,Y,1,0,2,6,2
93,13360,1921,GasA,Y,1,0,2,5,2
94,7200,1910,GasW,N,2,0,4,9,2
95,9337,1997,GasA,Y,2,1,3,7,2
96,9765,1993,GasA,Y,2,1,3,6,2
97,10264,1999,GasA,Y,2,0,3,6,2
98,10921,1965,GasA,Y,1,0,3,6,1
99,10625,1920,GasA,N,1,0,2,5,1
100,9320,1959,GasA,Y,1,1,3,6,0
101,10603,1977,GasA,Y,2,0,3,6,2
102,9206,1985,GasA,Y,2,1,3,7,2
103,7018,1979,GasA,Y,2,0,4,8,2
104,10402,2009,GasA,Y,2,0,3,6,3
105,7758,1931,GasA,Y,1,1,4,7,1
106,9375,2003,GasA,Y,2,1,3,9,2
107,10800,1885,GasA,Y,1,0,2,6,1
108,6000,1948,GasA,Y,1,0,2,5,1
109,8500,1919,GasW,N,2,0,3,7,0
110,11751,1977,GasA,Y,2,0,3,7,2
111,9525,1954,GasA,Y,2,0,4,7,1
112,7750,2000,GasA,Y,2,1,3,7,2
113,9965,2007,GasA,Y,2,1,4,10,3
114,21000,1953,GasA,Y,2,0,3,7,2
115,7259,1945,GasA,Y,2,1,3,9,1
116,3230,1999,GasA,Y,2,1,2,5,2
117,11616,1962,GasA,Y,1,0,3,6,1
