Id,YrSold,SaleType,SaleCondition,SalePrice
1,2008,WD,Normal,208500
2,2007,WD,Normal,181500
3,2008,WD,Normal,223500
4,2006,WD,Abnorml,140000
5,2008,WD,Normal,250000
6,2009,WD,Normal,143000
7,2007,WD,Normal,307000
8,2009,WD,Normal,200000
9,2008,WD,Abnorml,129900
10,2008,WD,Normal,118000
11,2008,WD,Normal,129500
12,2006,New,Partial,345000
13,2008,WD,Normal,144000
14,2007,New,Partial,279500
15,2008,WD,Normal,157000
16,2007,WD,Normal,132000
17,2010,WD,Normal,149000
18,2006,WD,Normal,90000
19,2008,WD,Normal,159000
20,2009,COD,Abnorml,139000
21,2006,New,Partial,325300
22,2007,WD,Normal,139400
23,2008,WD,Normal,230000
24,2007,WD,Normal,129900
25,2010,WD,Normal,154000
26,2009,WD,Normal,256300
27,2010,WD,Normal,134800
28,2010,WD,Normal,306000
29,2006,WD,Normal,207500
30,2008,WD,Normal,68500
31,2008,WD,Normal,40000
32,2008,WD,Normal,149350
33,2008,WD,Normal,179900
34,2010,WD,Normal,165500
35,2007,WD,Normal,277500
36,2006,WD,Normal,309000
37,2009,WD,Normal,145000
38,2009,WD,Normal,153000
39,2010,WD,Abnorml,109000
40,2008,WD,AdjLand,82000
41,2006,WD,Abnorml,160000
42,2007,WD,Normal,170000
43,2007,WD,Normal,144000
44,2008,WD,Normal,130250
45,2006,WD,Normal,141000
46,2010,WD,Normal,319900
47,2009,WD,Abnorml,239686
48,2007,WD,Normal,249700
49,2009,New,Partial,113000
50,2007,WD,Normal,127000
51,2007,WD,Normal,177000
52,2006,WD,Normal,114500
53,2010,WD,Normal,110000
54,2006,WD,Normal,385000
55,2007,WD,Normal,130000
56,2008,WD,Normal,180500
57,2009,WD,Abnorml,172500
58,2006,WD,Normal,196500
59,2006,New,Partial,438780
60,2008,WD,Normal,124900
61,2006,New,Partial,158000
62,2007,WD,Normal,101000
63,2007,WD,Normal,202500
64,2010,WD,Normal,140000
65,2009,WD,Normal,219500
66,2007,WD,Normal,317000
67,2010,WD,Normal,180000
68,2007,WD,Normal,226000
69,2010,WD,Normal,80000
70,2006,WD,Normal,225000
71,2007,WD,Normal,244000
72,2007,WD,Normal,129500
73,2009,WD,Normal,185000
74,2010,WD,Normal,144900
75,2010,WD,Normal,107400
76,2009,WD,Normal,91000
77,2008,WD,Normal,135750
78,2008,WD,Normal,127000
79,2010,WD,Normal,136500
80,2009,WD,Normal,110000
81,2009,WD,Normal,193500
82,2006,WD,Normal,153500
83,2008,WD,Normal,245000
84,2007,COD,Normal,126500
85,2009,WD,Normal,168500
86,2006,WD,Normal,260000
87,2009,WD,Normal,174000
88,2009,New,Partial,164500
89,2009,ConLD,Abnorml,85000
90,2007,WD,Normal,123600
91,2006,WD,Normal,109900
92,2006,WD,Abnorml,98600
93,2009,WD,Normal,163500
94,2007,WD,Normal,133900
95,2007,WD,Normal,204750
96,2009,WD,Normal,185000
97,2006,WD,Normal,214000
98,2007,WD,Normal,94750
99,2010,COD,Abnorml,83000
100,2010,WD,Normal,128950
101,2010,WD,Normal,205000
102,2010,WD,Normal,178000
103,2009,WD,Alloca,118964
104,2010,WD,Normal,198900
105,2007,WD,Normal,169500
106,2008,WD,Normal,250000
107,2007,WD,Normal,100000
108,2008,WD,Partial,115000
109,2007,WD,Normal,115000
110,2010,COD,Normal,190000
111,2006,WD,Normal,136900
112,2010,WD,Normal,180000
113,2007,New,Partial,383970
114,2007,COD,Abnorml,217000
115,2007,WD,Normal,259500
116,2007,WD,Normal,176000
117,2009,WD,Normal,139000
118,2007,New,Partial,155000
119,2010,WD,Normal,320000
120,2006,New,Partial,163990
121,2006,WD,Normal,180000
122,2007,WD,Normal,100000
123,2008,WD,Normal,136000
124,2008,WD,Normal,153900
125,2009,WD,Normal,181000
126,2006,WD,Normal,84500
127,2007,WD,Normal,128000
128,2007,WD,Normal,87000
129,2006,WD,Normal,155000
130,2006,WD,Abnorml,150000
131,2006,WD,Normal,226000
132,2009,WD,Normal,244000
133,2007,WD,Normal,150750
134,2009,WD,Normal,220000
135,2006,WD,Normal,180000
136,2008,WD,Normal,174000
137,2007,WD,Normal,143000
138,2006,WD,Family,171000
139,2008,WD,Normal,230000
140,2009,WD,Normal,231500
141,2010,ConLI,Normal,115000
142,2006,WD,Normal,260000
143,2010,WD,Normal,166000
144,2009,WD,Normal,204000
145,2006,ConLI,Abnorml,125000
146,2006,WD,Normal,130000
147,2009,WD,Normal,105000
148,2010,WD,Normal,222500
149,2008,WD,Normal,141000
150,2006,WD,Normal,115000
151,2007,WD,Normal,122000
152,2008,New,Partial,372402
153,2006,WD,Normal,190000
154,2008,WD,Normal,235000
155,2006,WD,Family,125000
156,2008,WD,Normal,79000
157,2006,WD,Normal,109500
158,2010,New,Partial,269500
159,2010,WD,Normal,254900
160,2006,New,Partial,320000
161,2008,WD,Normal,162500
162,2008,WD,Normal,412500
163,2010,New,Partial,220000
164,2007,WD,Normal,103200
165,2007,WD,Normal,152000
166,2008,WD,Normal,127500
167,2009,COD,Normal,190000
168,2007,New,Partial,325624
169,2007,WD,Normal,183500
170,2006,WD,Normal,228000
171,2007,WD,Normal,128500
172,2010,WD,Normal,215000
173,2006,WD,Normal,239000
174,2008,COD,Normal,163000
175,2008,WD,Normal,184000
176,2007,WD,Normal,243000
177,2007,WD,Normal,211000
178,2006,WD,Normal,172500
179,2009,New,Partial,501837
180,2007,WD,Normal,100000
181,2007,WD,Normal,177000
182,2006,WD,Normal,200100
183,2007,WD,Normal,120000
184,2008,WD,Normal,200000
185,2006,WD,Normal,127000
186,2006,WD,Normal,475000
187,2009,WD,Normal,173000
188,2009,WD,Normal,135000
189,2009,WD,Alloca,153337
190,2008,WD,Normal,286000
191,2007,WD,Normal,315000
192,2007,WD,Normal,184000
193,2009,WD,Normal,192000
194,2006,WD,Normal,130000
195,2008,WD,Normal,127000
196,2009,WD,Normal,148500
197,2007,New,Partial,311872
198,2006,WD,Abnorml,235000
199,2009,WD,Abnorml,104000
200,2009,WD,Normal,274900
201,2010,WD,Normal,140000
202,2008,WD,Normal,171500
203,2006,COD,Normal,112000
204,2008,WD,Normal,149000
205,2009,WD,Normal,110000
206,2009,WD,Normal,180500
207,2007,WD,Normal,143900
